X: -0.03 Y: 0.02 Z: 0.01 Stamp: 2020-07-20 15:51:15.853 | X: 4.078949934802949 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.853
X: -0.04 Y: 0.03 Z: -0.0 Stamp: 2020-07-20 15:51:15.868 | X: 4.078949934802949 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.870
X: 0.0 Y: 0.0 Z: -0.01 Stamp: 2020-07-20 15:51:15.888 | X: 4.078949934802949 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.889
X: 0.06 Y: -0.01 Z: -0.01 Stamp: 2020-07-20 15:51:15.907 | X: 4.078949934802949 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.908
X: 0.0 Y: -0.02 Z: -0.0 Stamp: 2020-07-20 15:51:15.922 | X: 4.078949934802949 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.923
X: -0.05 Y: -0.0 Z: 0.0 Stamp: 2020-07-20 15:51:15.937 | X: 4.078949934802949 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.938
X: -0.01 Y: 0.01 Z: -0.01 Stamp: 2020-07-20 15:51:15.954 | X: 4.002243879716843 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.955
X: 0.04 Y: 0.01 Z: -0.01 Stamp: 2020-07-20 15:51:15.987 | X: 4.002243879716843 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:15.988
X: -0.02 Y: -0.02 Z: -0.01 Stamp: 2020-07-20 15:51:16.006 | X: 4.002243879716843 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.007
X: 0.03 Y: 0.0 Z: -0.01 Stamp: 2020-07-20 15:51:16.027 | X: 3.9558586494531482 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.028
X: -0.02 Y: 0.0 Z: -0.0 Stamp: 2020-07-20 15:51:16.057 | X: 3.9269728370709345 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.057
X: -0.04 Y: 0.01 Z: -0.01 Stamp: 2020-07-20 15:51:16.089 | X: 3.9269728370709345 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.093
X: -0.01 Y: 0.0 Z: -0.0 Stamp: 2020-07-20 15:51:16.141 | X: 3.9269728370709345 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.141
X: 0.01 Y: 0.01 Z: 0.0 Stamp: 2020-07-20 15:51:16.159 | X: 3.9269728370709345 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.160
X: 0.03 Y: 0.02 Z: 0.02 Stamp: 2020-07-20 15:51:16.195 | X: 3.9269728370709345 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.196
X: -0.01 Y: -0.04 Z: 0.01 Stamp: 2020-07-20 15:51:16.217 | X: 3.8858153675100766 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.218
X: 0.01 Y: -0.0 Z: 0.0 Stamp: 2020-07-20 15:51:16.273 | X: 3.8590735124598723 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.273
X: -0.0 Y: -0.01 Z: 0.0 Stamp: 2020-07-20 15:51:16.447 | X: 3.8193685096266563 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.449
X: -0.0 Y: 0.0 Z: 0.0 Stamp: 2020-07-20 15:51:16.767 | X: 3.7842664262534527 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.768
X: 0.0 Y: -0.0 Z: -0.0 Stamp: 2020-07-20 15:51:16.801 | X: 3.7842664262534527 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.802
X: -0.19 Y: 0.02 Z: -0.02 Stamp: 2020-07-20 15:51:16.900 | X: 3.728723097366128 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:16.901
X: -0.03 Y: -0.01 Z: 0.0 Stamp: 2020-07-20 15:51:17.603 | X: 3.408321704139298 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:17.604
X: -0.0 Y: -0.0 Z: -0.0 Stamp: 2020-07-20 15:51:17.646 | X: 3.392713350887093 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:17.647
X: 0.02 Y: 0.02 Z: 0.0 Stamp: 2020-07-20 15:51:17.670 | X: 3.382814905462162 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:17.670
X: -0.07 Y: -0.01 Z: -0.01 Stamp: 2020-07-20 15:51:17.691 | X: 3.382814905462162 Y: 0.9 Z: 1.0 Stamp: 2020-07-20 15:51:17.691
